reviewerID,asin,overall
A2665PMQ6QIEA7,B00000J1U5,4
A26UFBBEXEC4I7,B00000J1U5,1
A1OU2FW26L47VV,B00000J1U5,5
ALDM6DH1HFZE3,B00005108J,5
A3CLO0W8933D9N,B00005108J,5
A25D01W0ITWHRA,B00005108J,5
AV1UYTYIOUGMH,B00005108J,5
A2KTY8C51L5ULB,B00005108J,3
A13CIHKRLE07P9,B00005108J,5
A14V2QCBMBU1TM,B00005108J,4
A3TH0R81AWDJ49,B00005108J,4
A1NA7W62VGQ5JZ,B00005141S,5
AH1T330P6CUIH,B00005AY7G,3
A29KVJT2NQY2X7,B000067SN2,3
A25GKRV0D4T0XF,B00006B8DA,1
A158LLL6GKERQM,B00006B8DA,1
A2Y2BWKXXZ4PE6,B00006B8DA,1
A9Q5CW918HEOW,B00006B7DA,4
A29EGA8RIDPUJ1,B00006B92D,4
A2UNNV07Y9XWCD,B00006BALN,3
A2GHDBWLMYBWYX,B00006B7DA,5
A2TCEKL756TDUH,B00007IFED,5
A3Q4TYJVAM4IRM,B00007IFED,2
A3DWFSJZMQ2I06,B00007IFED,5
A1A3HN7AF50ZAN,B00008XOH6,5
AYM76JWI220Z4,B0000AZK08,5
A18VHHPGCYPIMI,B0002AKX6Y,3
A1KJG4QIFO389U,B0002AKX6Y,5
AR710G52RNOPG,B0002D6QJO,4
AVJFSWXFMXCTU,B0007T27HI,5
A2T4RWV6ROQGIT,B0007T27HI,1
ABZPPYDGHWIVU,B00080G0BK,5
A1Y8D7GCCTB1UT,B00080G0BK,4
A20RYRJNE5DL3M,B00080G0BK,4
A11OBR5EZFBHJY,B00080G0BK,5
A1AXV9LGW8FTWU,B00080G0BK,5
A16H72RLTHC2CQ,B00080G0BK,5
A28PWO7DZP9VWL,B00080G0BK,5
A2ZAVINR7YXSB6,B00080G0BK,3
A27LB0VUIXIX8H,B00080G0BK,5
A2YC3F6YSKZ63Z,B00080G0BK,5
A1COIDXLPLX3D5,B0009Y7AW8,5
A1OSWZ51GO0U66,B0009Y7AW8,3
AK3GKIV8DEY8B,B0009Y7AW8,5
A36A1ZYZH8568P,B0009Y7AW8,5
AB094YABX21WQ,B0009Y7AW8,5
A130VGG4P4PW5J,B0009Y7AW8,5
AOEAD7DPLZE53,B000BMZOBM,3
AWA8ZX5DKKCTW,B000BSJFFC,5
A3KC6FGGHLZXOA,B000BSJFJS,5
A16WP8NTPYB0ZM,B000BSJFJS,5
AJ0B1WKMHMMF7,B000FV8P24,4
A3BXV2ELXCUMNR,B000HJ99DI,4
A3LGT6UZL99IW1,B000HJ99DI,4
A26X7W5UM5QFT4,B000HJ99DI,3
A2HUW1SLHRCF0A,B000HJ99DI,1
AG0UTJXR2B1UF,B000HJ99DI,5
A27C68294LPSDE,B000HJ99DI,5
A1414UT5PFTKBO,B000HJ99DI,5
AJHXHLDK0T8IE,B000HJ99DI,4
A1YOGD8K6EV6VI,B000I97N0S,5
AA4W6F7VT4ME7,B000J01I1G,5
A3SRV62BU7872O,B000J01I1G,5
AX6XVLRQFX2N1,B000JWXPPG,5
A3G39O7LFT4JIU,B000N8DJB6,2
A2PZJYHC2342W,B000SAB34O,5
A38IZVH88BUY7X,B000UW8L4A,2
A3086R3O2WBUJ1,B000UW8L4A,3
A27N1NZLJV4VIH,B000UXZQ42,2
A2J6W7OS5EAXCJ,B000UXZQ42,2
A31P7PKTB5WFXS,B000UXZQ42,2
ADYRUM5DUKP70,B000UXZQ42,5
A3EZEP0FX5BC1P,B000VE2RP6,5
A1QQA7Y92L4F9R,B000VE2RP6,5
A2QMU0JPM9FR3J,B000VE2RP6,5
A36KWGMZ4IG7DR,B000VM60I8,4
A19CS1197JXXNG,B000VM60I8,2
A2XXDLKCVU1RKN,B000VM60I8,5
A33XOG0QL0QMTD,B000VM60I8,2
A1JG665AFBM69F,B000VM60I8,5
A1DAXLOSW1KBDM,B000VM60I8,3
A2DHQG1IBD4TVX,B000VS4HDM,5
A4VUH2Y4HLE4H,B000VS4HDM,1
A22KTP0T62X93N,B000VS4HDM,5
AU7PA1KV5MOMM,B000VS4HDM,2
A3BTAU8NG96N3W,B000VS4HDM,5
AZEYZ3W21Q8KP,B000VS4HDM,5
A1LJ3BCAVCYXV2,B000VS4HDM,5
A33AIA825PWT6H,B000VS4HDM,5
A29SZ3GMB5LR5O,B000VS4HDM,5
A2VDTPQ7J01YS9,B000VS4HDM,5
A2EG27IMPFQOMB,B000W66HZY,5
A3ORMJ46NG004Z,B000ZH98LU,5
A32O6UEI4JFGD4,B000ZH98LU,5
A2DBQZJ9E5N9PQ,B000ZH98LU,2
A1QK8KV4QZLDDD,B000ZH98LU,2
A2TBTC0PIEQ9RS,B00116ZG7O,5
A2HD2PRPJ0O474,B0012JE3YM,5
A3QDGV38RQQT7L,B0012JE3YM,2
A1HPC4BDRLR60,B0012JE3YM,1
A2GP1QHN2GBBUE,B0012Z3MKW,1
A1UH9FCMEP1RJ9,B0012Z3MKW,5
A14P6G6SDGJ9PT,B0015DYMVO,1
A2HI044K4CRPXU,B0015DYMVO,2
A2B633QFQFB40T,B0015DYMVO,5
A1U29J8EEBPETK,B0015DYMVO,5
A3VNKSZ91HOPUO,B0015DYMVO,2
A1QIHT12HST790,B0015DYMVO,3
A1GYVLHBVPQHB8,B0015DYMVO,4
A1OE7IYS69FVUD,B0015DYMVO,1
A1QPXEUAZFNCKM,B0015DYMVO,2
A3N8JJYAKZJN64,B0015DYMVO,1
AJJT3CPWMI91I,B0015DYMVO,3
A3CW2S9GK3TO82,B0015DYMVO,5
AZZTCG8URXK9W,B0015DYMVO,5
AO36V0SB1ACMK,B0015DYMVO,5
A22PRSKMTJUIF1,B0015DYMVO,5
ANWB7D10LPJFU,B0015DYMVO,5
A1P0EP5KFOTBIJ,B0015DYMVO,4
A2TPE6TCFEHY2W,B0015DYMVO,5
A1XWJ0NABYC1MA,B0015DYMVO,4
A1G6LD5VL0LE23,B0015DYMVO,5
A32WDBGM8L5WBR,B0015DYMVO,5
A2EDY51UPHPPHV,B0015LURY2,4
A2839YEN2UMYFM,B0015LURY2,5
A2Y3EXMNVOV2IO,B0015LURY2,1
A1XDMYX8QOW07N,B0015LURY2,5
ASVIHZ2EG3HZI,B0015LURY2,4
A3GO8G3VRUSN01,B0015LURY2,3
AZZOQCD4U42P0,B0015M22C6,5
A35KZ5WD51H7PK,B0015M22C6,4
A3MAUGSK95UVWJ,B0015M22C6,4
ABH99P96ICSOC,B0015M22C6,4
A26S0R5B6D0BP9,B0015M22C6,5
AGL95K4GLGZ4J,B0016RNX2I,5
A3HCMJOGRRSAF2,B00175VDY4,3
A3S3R88HA0HZG3,B00175VDY4,5
A3OQGX7T9GL0LD,B0017JY5F4,4
ANFB64WF3VOD6,B0017JY5F4,5
A2ZDY0V4Q1SZD7,B0017JY5F4,5
A2XFVS9GBQW2U1,B0017JY5F4,5
A2VRYQBXSTA424,B0017JY5F4,4
A2BT0VSRSO56G9,B0017JY5F4,5
